SubArea,Davis,Stockton,Lodi,Tracy_Carbona,Rio Vista,Brentwood,Galt,ETo Corection Factor,REGION,REGION
1,0,0.5939,0,0.4061,0,0,0,1.01363,0,Lowlands
2,0,0.3628,0,0.4775,0,0.1597,0,1.03911,0,Lowlands
3,0,0,0,0,1,0,0,0.994821,0,Lowlands
4,0,0,0,1,0,0,0,0.99042,1,Uplands
5,0.0267,0,0,0,0.3947,0,0.5786,0.901491,0,Lowlands
6,0.9428,0,0,0,0,0,0.0572,0.898839,0,Lowlands
7,0,0,0,0,1,0,0,1.05468,0,Lowlands
8,0,0,0,0,1,0,0,1.07799,0,Lowlands
9,0,0,0,0,0,0,1,0.8305,0,Lowlands
10,0,0,0,0,1,0,0,0.982798,0,Lowlands
11,0,1,0,0,0,0,0,0.882488,0,Lowlands
12,0,1,0,0,0,0,0,0.820928,0,Lowlands
13,0,0,0,0,1,0,0,1.03908,0,Lowlands
14,0,0,0,0,1,0,0,1.03445,0,Lowlands
15,0,1,0,0,0,0,0,0.948185,0,Lowlands
16,0,0,0,0,1,0,0,1.0749,0,Lowlands
17,0,0,0,0,1,0,0,1.07858,1,Uplands
18,0,0.4963,0,0.5037,0,0,0,0.977793,0,Lowlands
19,0,0.1997,0.7471,0,0.0532,0,0,0.899747,0,Lowlands
20,0,0,0,0,0.6882,0,0.3118,0.915694,0,Lowlands
21,0,0,0,0,0.4791,0,0.5209,0.907011,0,Lowlands
22,0,0,0,0,1,0,0,0.962062,0,Lowlands
23,0,0,0,0,1,0,0,0.989563,0,Lowlands
24,1,0,0,0,0,0,0,0.89807,0,Lowlands
25,0,1,0,0,0,0,0,0.958752,0,Lowlands
26,0.1619,0,0,0,0,0,0.8381,0.9,0,Lowlands
27,0,0,0,0,0,0,1,0.879482,0,Lowlands
28,0,0,0,0,0.9696,0,0.0304,0.91245,0,Lowlands
29,0,0.0491,0,0,0.9509,0,0,1.01095,0,Lowlands
30,1,0,0,0,0,0,0,0.893306,0,Lowlands
31,0,0,0,0.967,0,0.033,0,1.04227,0,Lowlands
32,0,0,0,0,0.1157,0.8843,0,1.0494,0,Lowlands
33,0,0,0,0,0,1,0,1.03673,0,Lowlands
34,0,0,0,0,0,1,0,1.02899,0,Lowlands
35,0,0,0,0,0,0,1,0.884435,0,Lowlands
36,0,1,0,0,0,0,0,0.818116,1,Uplands
37,0,0,0,0,1,0,0,1.05757,0,Lowlands
38,1,0,0,0,0,0,0,0.890709,0,Lowlands
39,0.5558,0,0,0,0.4442,0,0,0.94922,0,Lowlands
40,0,0,0,0,0,0,1,0.863781,0,Lowlands
41,0,0,0,0.9121,0,0.0879,0,1.04143,1,Uplands
42,0,0,0,0,1,0,0,1.07297,0,Lowlands
43,0,1,0,0,0,0,0,0.826821,0,Lowlands
44,0,0,0,0,0,0,1,0.796897,1,Uplands
45,0,1,0,0,0,0,0,0.811835,1,Uplands
46,0,0,0,0,1,0,0,1.03793,0,Lowlands
47,0,1,0,0,0,0,0,1.01698,0,Lowlands
48,0,0.16,0,0,0.84,0,0,1.01503,0,Lowlands
49,0,0,0,0,0,1,0,1.04639,0,Lowlands
50,0,0,0,0,0.8037,0.1963,0,1.04224,0,Lowlands
51,0,0,0,0,1,0,0,1.05242,0,Lowlands
52,0,0.1762,0,0,0.8238,0,0,1.0232,0,Lowlands
53,0,0.3429,0,0,0.4189,0.2382,0,1.02977,0,Lowlands
54,0,1,0,0,0,0,0,0.9724,0,Lowlands
55,0,1,0,0,0,0,0,1.0041,0,Lowlands
56,0,0,0.869,0,0.131,0,0,0.870689,0,Lowlands
57,0,0,0,0,0,1,0,1.04373,0,Lowlands
58,0,1,0,0,0,0,0,0.924241,0,Lowlands
59,0,1,0,0,0,0,0,1.0142,0,Lowlands
60,0,1,0,0,0,0,0,1.01963,0,Lowlands
61,0,0.3428,0,0,0,0.6572,0,1.04227,0,Lowlands
62,0,0.973,0,0,0.027,0,0,1.00816,0,Lowlands
63,0,1,0,0,0,0,0,0.837608,0,Lowlands
64,0,1,0,0,0,0,0,0.898976,0,Lowlands
65,0,0,0,1,0,0,0,1.02322,0,Lowlands
66,0,0,0,1,0,0,0,1.03759,1,Uplands
67,0,0,0,0,1,0,0,1.06655,0,Lowlands
68,0,0,0,0,1,0,0,1.05887,0,Lowlands
69,0,0,0,1,0,0,0,1.00011,0,Lowlands
70,0,0,0,1,0,0,0,1.02769,1,Uplands
71,0,0,0,0,0,1,0,1.0468,0,Lowlands
72,0,0,0,0,1,0,0,1.07332,0,Lowlands
73,1,0,0,0,0,0,0,1.02116,1,Uplands
74,0,0.3915,0,0,0,0.6085,0,1.03623,0,Lowlands
75,0,1,0,0,0,0,0,0.852929,0,Lowlands
76,0,0,0,1,0,0,0,1.01105,1,Uplands
77,0.865,0,0,0,0.135,0,0,0.988669,1,Uplands
78,0,0,0,0,1,0,0,1.06593,0,Lowlands
79,0,0,0,1,0,0,0,1.0387,1,Uplands
80,0,0,0.128,0,0.065,0,0.807,0.870264,0,Lowlands
81,0,0,0,0,0,0,1,0.802446,1,Uplands
82,0,0,0,1,0,0,0,1.02057,0,Lowlands
83,0,0,0,0,1,0,0,1.03811,0,Lowlands
84,0,0,0,1,0,0,0,0.997777,1,Uplands
85,0,0,0,1,0,0,0,1.02679,1,Uplands
86,0,0,0,1,0,0,0,0.992169,1,Uplands
87,0,0,0,0,1,0,0,1.04477,0,Lowlands
88,0.226,0,0,0,0.774,0,0,1.04217,1,Uplands
89,0,0,0,0,1,0,0,1.05111,1,Uplands
90,0,0,0,1,0,0,0,0.999217,0,Lowlands
91,0,0,0,1,0,0,0,1.00007,1,Uplands
92,0,0,0,0,0.8512,0.1403,0.0085,1.06205,0,Lowlands
93,0,0,0,0,0,0,1,0.9,1,Uplands
94,0,0,0,0,0,0,1,0.883519,0,Lowlands
95,0,0,0,0,0,0,1,0.816879,1,Uplands
96,0,0,0,0,0.2254,0,0.7746,0.902635,0,Lowlands
97,0,0,0,0,0,0,1,0.88889,0,Lowlands
98,0,0,0,0,1,0,0,1.06147,0,Lowlands
99,0,0,0,0,0.0318,0,0.9682,0.894628,0,Lowlands
100,0,0,0,0,0,0,1,0.872345,0,Lowlands
101,0,0,0,0,0,0,1,0.878117,1,Uplands
102,0,0,0,1,0,0,0,1.01847,0,Lowlands
103,0,0,0,0.9967,0,0.0033,0,1.03063,1,Uplands
104,0,1,0,0,0,0,0,0.980343,0,Lowlands
105,0,1,0,0,0,0,0,0.812787,0,Lowlands
106,0,1,0,0,0,0,0,0.806919,1,Uplands
107,0,1,0,0,0,0,0,1.01523,0,Lowlands
108,0,1,0,0,0,0,0,0.873029,0,Lowlands
109,0,1,0,0,0,0,0,1.003,0,Lowlands
110,0,1,0,0,0,0,0,0.998476,0,Lowlands
111,0,1,0,0,0,0,0,1.00915,0,Lowlands
112,0,1,0,0,0,0,0,0.96948,0,Lowlands
113,0,1,0,0,0,0,0,0.996155,0,Lowlands
114,0,1,0,0,0,0,0,0.921526,0,Lowlands
115,0,0.6232,0.3768,0,0,0,0,0.819986,0,Lowlands
116,0,1,0,0,0,0,0,0.836031,0,Lowlands
117,0,0.0549,0.9451,0,0,0,0,0.827988,0,Lowlands
118,0,1,0,0,0,0,0,0.983777,0,Lowlands
119,0,0,0,0,0.8592,0,0.1408,0.958211,0,Lowlands
120,0,1,0,0,0,0,0,0.873795,0,Lowlands
121,0,0,0,0,1,0,0,1.07798,0,Lowlands
122,0,0,0,0,1,0,0,1.08167,1,Uplands
123,0,0,0,0,1,0,0,1.08731,0,Lowlands
124,0,0,0,0,1,0,0,1.01872,0,Lowlands
125,0.1615,0,0,0,0.301,0,0.5374,0.909229,0,Lowlands
126,1,0,0,0,0,0,0,1.00187,1,Uplands
127,0,0,0,0,1,0,0,1.01971,0,Lowlands
128,0,0,0,0.0804,0,0.9196,0,1.0095,1,Uplands
129,0,0,0,0,0,1,0,1.02719,0,Lowlands
130,0,0,0,0,0,1,0,1.00727,1,Uplands
131,0,0,0,0,1,0,0,1.05018,0,Lowlands
132,0,0,0,0,0,1,0,1.04271,0,Lowlands
133,0,0,0,0,0.9837,0.0163,0,1.04978,0,Lowlands
134,0,0,0,0,0.9783,0.0217,0,1.04855,0,Lowlands
135,0,0,0,0,1,0,0,1.06127,0,Lowlands
136,0,0,0,0,1,0,0,1.04549,0,Lowlands
137,0,0,0,0,0.327,0.673,0,1.03962,0,Lowlands
138,0,0,0,0,1,0,0,1.03303,0,Lowlands
139,0,0,0,0,1,0,0,1.03459,0,Lowlands
140,0,0,0,0,1,0,0,1.05949,0,Lowlands
141,0,0,0,0,0.2723,0.7277,0,1.06337,0,Lowlands
142,0,0,0,0,1,0,0,1.05518,0,Lowlands
143,0,0.6624,0,0.3376,0,0,0,0.91633,1,Uplands
144,0,0,0,0,1,0,0,1.08417,1,Uplands
145,0,0,0,0,1,0,0,1.08779,1,Uplands
146,0,0,0,0,0,0,1,0.895205,0,Lowlands
147,0.3082,0,0,0,0,0,0.6918,0.897927,1,Uplands
148,1,0,0,0,0,0,0,0.893742,1,Uplands
149,0,1,0,0,0,0,0,0.867227,0,Lowlands
150,0,1,0,0,0,0,0,0.811327,0,Lowlands
151,0,1,0,0,0,0,0,0.802895,0,Lowlands
152,0,0,0,0,0,0,1,0.794857,1,Uplands
153,0,0.3893,0.3974,0,0,0,0.2133,0.794726,1,Uplands
154,0,0,0,0,0,0,1,0.79751,1,Uplands
155,0,1,0,0,0,0,0,0.785958,1,Uplands
156,0,0,0,1,0,0,0,1.02458,1,Uplands
157,0,1,0,0,0,0,0,0.808404,1,Uplands
158,0,0,0,0,1,0,0,1.07417,0,Lowlands
159,0,0,0,0,1,0,0,1.08146,1,Uplands
160,0,0,0,0,1,0,0,1.05475,1,Uplands
161,0,0,0,0,1,0,0,1.04938,1,Uplands
162,0.8486,0,0,0,0.1514,0,0,1.03266,1,Uplands
163,1,0,0,0,0,0,0,1.02142,1,Uplands
164,1,0,0,0,0,0,0,0.931437,1,Uplands
165,0,0,0,0,0,1,0,1.0358,0,Lowlands
166,0,0,0,0,0,1,0,1.04891,0,Lowlands
167,0,0,0,0,0.5553,0.4447,0,1.05414,0,Lowlands
168,0,0,0,0,0,1,0,1.05162,1,Uplands
