DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
1930,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1931,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1932,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1933,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1934,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1935,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1936,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1937,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1938,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1939,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1940,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1941,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1942,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1943,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1944,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1945,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1946,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1947,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1948,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1949,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1950,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1951,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1952,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1953,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1954,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1955,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1956,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1957,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1958,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1959,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1960,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1961,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1962,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1963,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1964,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1965,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1966,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1967,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1968,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1969,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1970,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1971,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1972,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1973,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1974,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1975,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1976,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1977,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1978,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1979,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1980,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1981,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1982,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1983,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1984,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1985,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1986,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1987,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1988,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1989,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1990,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1991,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1992,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1993,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1994,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1995,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1996,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1997,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1998,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1999,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2000,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2001,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2002,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2003,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2004,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2005,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2006,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2007,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2008,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2009,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2010,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2011,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2012,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2013,D,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2014,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2015,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2016,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2017,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2018,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2019,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2020,AN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2021,C,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2022,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2023,BN,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
2024,W,1,0,0,0,0,0,0,0,0,0,0,566,911,0,0,1062,4
1922,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1923,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1924,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1925,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1926,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1927,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1928,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1929,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1930,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1931,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1932,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1933,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1934,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1935,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1936,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1937,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1938,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1939,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1940,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1941,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1942,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1943,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1944,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1945,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1946,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1947,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1948,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1949,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1950,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1951,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1952,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1953,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1954,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1955,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1956,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1957,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1958,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1959,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1960,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1961,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1962,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1963,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1964,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1965,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1966,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1967,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1968,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1969,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1970,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1971,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1972,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1973,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1974,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1975,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1976,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1977,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1978,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1979,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1980,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1981,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1982,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1983,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1984,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1985,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1986,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1987,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1988,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1989,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1990,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1991,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1992,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1993,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1994,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1995,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1996,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1997,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1998,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1999,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2000,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2001,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2002,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2003,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2004,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2005,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2006,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2007,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2008,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2009,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2010,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2011,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2012,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2013,D,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2014,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2015,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2016,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2017,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2018,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2019,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2020,AN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2021,C,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2022,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2023,BN,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
2024,W,1,0,0,0,0,0,0,0,0,0,0,149,101,0,0,670,5
1922,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1923,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1924,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1925,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1926,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1927,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1928,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1929,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1930,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1931,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1932,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1933,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1934,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1935,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1936,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1937,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1938,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1939,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1940,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1941,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1942,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1943,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1944,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1945,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1946,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1947,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1948,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1949,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1950,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1951,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1952,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1953,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1954,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1955,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1956,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1957,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1958,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1959,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1960,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1961,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1962,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1963,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1964,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1965,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1966,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1967,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1968,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1969,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1970,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1971,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1972,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1973,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1974,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1975,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1976,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1977,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1978,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1979,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1980,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1981,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1982,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1983,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1984,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1985,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1986,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1987,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1988,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1989,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1990,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1991,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1992,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1993,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1994,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1995,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1996,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1997,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1998,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1999,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2000,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2001,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2002,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2003,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2004,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2005,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2006,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2007,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2008,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2009,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2010,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2011,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2012,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2013,D,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2014,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2015,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2016,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2017,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2018,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2019,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2020,AN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2021,C,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2022,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2023,BN,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
2024,W,135,0,0,0,0,0,0,0,0,0,0,523,2873,0,0,0,6
1922,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1923,BN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1924,C,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1925,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1926,D,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1927,W,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
1928,AN,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1416,7
